,Hour,Filename,Total_Pellets
192,21,FED004_072224_00.CSV,15.5
193,21,FED005_072224_00.CSV,15.5
194,21,FED006_072224_00.CSV,17.5
195,21,FED007_072124_00.CSV,26.5
196,21,FED008_072224_00.CSV,18.5
197,21,FED009_072224_00.CSV,11.5
198,22,FED001_072224_00.CSV,21.0
199,22,FED002_072224_00.CSV,18.0
200,22,FED003_072224_00.CSV,20.5
201,22,FED004_072224_00.CSV,10.0
202,22,FED005_072224_00.CSV,16.0
203,22,FED006_072224_00.CSV,10.5
204,22,FED007_072124_00.CSV,6.5
205,22,FED008_072224_00.CSV,13.5
206,22,FED009_072224_00.CSV,21.0
207,23,FED001_072224_00.CSV,10.5
208,23,FED002_072224_00.CSV,12.5
209,23,FED003_072224_00.CSV,22.0
210,23,FED004_072224_00.CSV,13.5
211,23,FED005_072224_00.CSV,11.5
212,23,FED006_072224_00.CSV,5.0
213,23,FED007_072124_00.CSV,17.0
214,23,FED008_072224_00.CSV,11.5
215,23,FED009_072224_00.CSV,16.0
216,0,FED001_072424_00.CSV,13.0
217,0,FED002_072424_01.CSV,17.0
218,0,FED003_072424_00.CSV,16.0
219,0,FED004_072424_00.CSV,19.0
220,0,FED005_072424_01.CSV,8.5
221,0,FED006_072424_00.CSV,5.0
222,0,FED007_072424_01.CSV,14.5
223,0,FED008_072424_01.CSV,8.0
224,0,FED009_072424_00.CSV,14.0
225,1,FED001_072424_00.CSV,13.5
226,1,FED002_072424_01.CSV,6.5
227,1,FED003_072424_00.CSV,12.0
228,1,FED004_072424_00.CSV,7.0
229,1,FED005_072424_01.CSV,8.0
230,1,FED006_072424_00.CSV,12.0
231,1,FED007_072424_01.CSV,7.0
232,1,FED008_072424_01.CSV,6.0
233,1,FED009_072424_00.CSV,1.5
234,2,FED001_072424_00.CSV,8.0
235,2,FED002_072424_01.CSV,16.0
236,2,FED003_072424_00.CSV,15.5
237,2,FED004_072424_00.CSV,8.5
238,2,FED005_072424_01.CSV,12.5
239,2,FED006_072424_00.CSV,8.0
240,2,FED007_072424_01.CSV,8.5
241,2,FED008_072424_01.CSV,14.0
242,2,FED009_072424_00.CSV,8.0
243,3,FED001_072424_00.CSV,6.5
244,3,FED002_072424_01.CSV,9.0
245,3,FED003_072424_00.CSV,8.5
246,3,FED004_072424_00.CSV,7.0
247,3,FED005_072424_01.CSV,10.0
248,3,FED006_072424_00.CSV,10.5
249,3,FED007_072424_01.CSV,8.5
250,3,FED008_072424_01.CSV,6.5
251,3,FED009_072424_00.CSV,11.0
252,4,FED001_072424_00.CSV,8.5
253,4,FED002_072424_01.CSV,19.0
254,4,FED003_072424_00.CSV,9.0
255,4,FED004_072424_00.CSV,9.0
256,4,FED005_072424_01.CSV,9.0
257,4,FED006_072424_00.CSV,2.5
258,4,FED007_072424_01.CSV,23.5
259,4,FED008_072424_01.CSV,16.0
260,4,FED009_072424_00.CSV,12.5
261,5,FED001_072424_00.CSV,9.5
262,5,FED002_072424_01.CSV,7.0
263,5,FED003_072424_00.CSV,9.5
264,5,FED004_072424_00.CSV,12.5
265,5,FED005_072424_01.CSV,10.5
266,5,FED006_072424_00.CSV,9.0
267,5,FED007_072424_01.CSV,7.0
268,5,FED008_072424_01.CSV,7.5
269,5,FED009_072424_00.CSV,15.0
270,6,FED001_072424_00.CSV,7.0
271,6,FED002_072424_01.CSV,5.0
272,6,FED003_072424_00.CSV,0.5
273,6,FED004_072424_00.CSV,4.5
274,6,FED005_072424_01.CSV,0.0
