Interval,Filename,Task
659.0,FED004_FR1concat.csv,FR1
1490.0,FED004_FR1concat.csv,FR1
25.0,FED004_FR1concat.csv,FR1
323.0,FED004_FR1concat.csv,FR1
230.0,FED004_FR1concat.csv,FR1
290.0,FED004_FR1concat.csv,FR1
397.0,FED004_FR1concat.csv,FR1
569.0,FED004_FR1concat.csv,FR1
844.0,FED004_FR1concat.csv,FR1
98.0,FED004_FR1concat.csv,FR1
1397.0,FED004_FR1concat.csv,FR1
536.0,FED004_FR1concat.csv,FR1
93.0,FED004_FR1concat.csv,FR1
96.0,FED004_FR1concat.csv,FR1
2005.0,FED004_FR1concat.csv,FR1
62.0,FED004_FR1concat.csv,FR1
47.0,FED004_FR1concat.csv,FR1
1003.0,FED004_FR1concat.csv,FR1
278.0,FED004_FR1concat.csv,FR1
973.0,FED004_FR1concat.csv,FR1
37.0,FED004_FR1concat.csv,FR1
1092.0,FED004_FR1concat.csv,FR1
9706.0,FED004_FR1concat.csv,FR1
27.0,FED004_FR1concat.csv,FR1
38.0,FED004_FR1concat.csv,FR1
33.0,FED004_FR1concat.csv,FR1
67.0,FED004_FR1concat.csv,FR1
4027.0,FED004_FR1concat.csv,FR1
24.0,FED004_FR1concat.csv,FR1
5770.0,FED004_FR1concat.csv,FR1
20.0,FED004_FR1concat.csv,FR1
31.0,FED004_FR1concat.csv,FR1
29.0,FED004_FR1concat.csv,FR1
5501.0,FED004_FR1concat.csv,FR1
20.0,FED004_FR1concat.csv,FR1
26.0,FED004_FR1concat.csv,FR1
30.0,FED004_FR1concat.csv,FR1
21.0,FED004_FR1concat.csv,FR1
7887.0,FED004_FR1concat.csv,FR1
23.0,FED004_FR1concat.csv,FR1
18.0,FED004_FR1concat.csv,FR1
22.0,FED004_FR1concat.csv,FR1
30.0,FED004_FR1concat.csv,FR1
27.0,FED004_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
30.0,FED003_FR1concat.csv,FR1
30.0,FED003_FR1concat.csv,FR1
2245.0,FED003_FR1concat.csv,FR1
38.0,FED003_FR1concat.csv,FR1
986.0,FED003_FR1concat.csv,FR1
1238.0,FED003_FR1concat.csv,FR1
233.0,FED003_FR1concat.csv,FR1
931.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
16.0,FED003_FR1concat.csv,FR1
827.0,FED003_FR1concat.csv,FR1
250.0,FED003_FR1concat.csv,FR1
32.0,FED003_FR1concat.csv,FR1
722.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
27.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
24.0,FED003_FR1concat.csv,FR1
401.0,FED003_FR1concat.csv,FR1
350.0,FED003_FR1concat.csv,FR1
536.0,FED003_FR1concat.csv,FR1
352.0,FED003_FR1concat.csv,FR1
615.0,FED003_FR1concat.csv,FR1
16.0,FED003_FR1concat.csv,FR1
29.0,FED003_FR1concat.csv,FR1
27.0,FED003_FR1concat.csv,FR1
21.0,FED003_FR1concat.csv,FR1
27.0,FED003_FR1concat.csv,FR1
521.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
29.0,FED003_FR1concat.csv,FR1
50.0,FED003_FR1concat.csv,FR1
2003.0,FED003_FR1concat.csv,FR1
25.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
491.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
48.0,FED003_FR1concat.csv,FR1
636.0,FED003_FR1concat.csv,FR1
936.0,FED003_FR1concat.csv,FR1
220.0,FED003_FR1concat.csv,FR1
1025.0,FED003_FR1concat.csv,FR1
89.0,FED003_FR1concat.csv,FR1
139.0,FED003_FR1concat.csv,FR1
920.0,FED003_FR1concat.csv,FR1
158.0,FED003_FR1concat.csv,FR1
286.0,FED003_FR1concat.csv,FR1
485.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
375.0,FED003_FR1concat.csv,FR1
98.0,FED003_FR1concat.csv,FR1
275.0,FED003_FR1concat.csv,FR1
2034.0,FED003_FR1concat.csv,FR1
12.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
25.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
36.0,FED003_FR1concat.csv,FR1
570.0,FED003_FR1concat.csv,FR1
667.0,FED003_FR1concat.csv,FR1
227.0,FED003_FR1concat.csv,FR1
293.0,FED003_FR1concat.csv,FR1
2231.0,FED003_FR1concat.csv,FR1
76.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
1669.0,FED003_FR1concat.csv,FR1
43.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
24.0,FED003_FR1concat.csv,FR1
23.0,FED003_FR1concat.csv,FR1
1945.0,FED003_FR1concat.csv,FR1
16.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
28.0,FED003_FR1concat.csv,FR1
471.0,FED003_FR1concat.csv,FR1
921.0,FED003_FR1concat.csv,FR1
21.0,FED003_FR1concat.csv,FR1
614.0,FED003_FR1concat.csv,FR1
21.0,FED003_FR1concat.csv,FR1
10.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
1200.0,FED003_FR1concat.csv,FR1
635.0,FED003_FR1concat.csv,FR1
2680.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
29.0,FED003_FR1concat.csv,FR1
1863.0,FED003_FR1concat.csv,FR1
443.0,FED003_FR1concat.csv,FR1
13.0,FED003_FR1concat.csv,FR1
23.0,FED003_FR1concat.csv,FR1
35.0,FED003_FR1concat.csv,FR1
1661.0,FED003_FR1concat.csv,FR1
24.0,FED003_FR1concat.csv,FR1
666.0,FED003_FR1concat.csv,FR1
398.0,FED003_FR1concat.csv,FR1
656.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
27.0,FED003_FR1concat.csv,FR1
3218.0,FED003_FR1concat.csv,FR1
375.0,FED003_FR1concat.csv,FR1
148.0,FED003_FR1concat.csv,FR1
611.0,FED003_FR1concat.csv,FR1
164.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
413.0,FED003_FR1concat.csv,FR1
7091.0,FED003_FR1concat.csv,FR1
25.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
52.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
7130.0,FED003_FR1concat.csv,FR1
29.0,FED003_FR1concat.csv,FR1
35.0,FED003_FR1concat.csv,FR1
970.0,FED003_FR1concat.csv,FR1
5584.0,FED003_FR1concat.csv,FR1
20.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
6630.0,FED003_FR1concat.csv,FR1
63.0,FED003_FR1concat.csv,FR1
4385.0,FED003_FR1concat.csv,FR1
28.0,FED003_FR1concat.csv,FR1
13.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
11.0,FED003_FR1concat.csv,FR1
294.0,FED003_FR1concat.csv,FR1
36.0,FED003_FR1concat.csv,FR1
8535.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
24.0,FED003_FR1concat.csv,FR1
20.0,FED003_FR1concat.csv,FR1
25.0,FED003_FR1concat.csv,FR1
2581.0,FED003_FR1concat.csv,FR1
81.0,FED003_FR1concat.csv,FR1
24.0,FED003_FR1concat.csv,FR1
1062.0,FED003_FR1concat.csv,FR1
60.0,FED003_FR1concat.csv,FR1
118.0,FED003_FR1concat.csv,FR1
442.0,FED003_FR1concat.csv,FR1
181.0,FED003_FR1concat.csv,FR1
200.0,FED003_FR1concat.csv,FR1
103.0,FED003_FR1concat.csv,FR1
696.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
519.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
34.0,FED003_FR1concat.csv,FR1
20.0,FED003_FR1concat.csv,FR1
29.0,FED003_FR1concat.csv,FR1
200.0,FED003_FR1concat.csv,FR1
779.0,FED003_FR1concat.csv,FR1
652.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
31.0,FED003_FR1concat.csv,FR1
24.0,FED003_FR1concat.csv,FR1
596.0,FED003_FR1concat.csv,FR1
771.0,FED003_FR1concat.csv,FR1
62.0,FED003_FR1concat.csv,FR1
458.0,FED003_FR1concat.csv,FR1
667.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
14.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
20.0,FED003_FR1concat.csv,FR1
26.0,FED003_FR1concat.csv,FR1
828.0,FED003_FR1concat.csv,FR1
42.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
41.0,FED003_FR1concat.csv,FR1
931.0,FED003_FR1concat.csv,FR1
12.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
20.0,FED003_FR1concat.csv,FR1
20.0,FED003_FR1concat.csv,FR1
20.0,FED003_FR1concat.csv,FR1
628.0,FED003_FR1concat.csv,FR1
269.0,FED003_FR1concat.csv,FR1
592.0,FED003_FR1concat.csv,FR1
1027.0,FED003_FR1concat.csv,FR1
847.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
16.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
361.0,FED003_FR1concat.csv,FR1
453.0,FED003_FR1concat.csv,FR1
115.0,FED003_FR1concat.csv,FR1
160.0,FED003_FR1concat.csv,FR1
288.0,FED003_FR1concat.csv,FR1
1082.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
25.0,FED003_FR1concat.csv,FR1
1515.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
16.0,FED003_FR1concat.csv,FR1
21.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
56.0,FED003_FR1concat.csv,FR1
2131.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
13.0,FED003_FR1concat.csv,FR1
21.0,FED003_FR1concat.csv,FR1
23.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
580.0,FED003_FR1concat.csv,FR1
252.0,FED003_FR1concat.csv,FR1
653.0,FED003_FR1concat.csv,FR1
74.0,FED003_FR1concat.csv,FR1
566.0,FED003_FR1concat.csv,FR1
200.0,FED003_FR1concat.csv,FR1
382.0,FED003_FR1concat.csv,FR1
538.0,FED003_FR1concat.csv,FR1
589.0,FED003_FR1concat.csv,FR1
3020.0,FED003_FR1concat.csv,FR1
12.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
20.0,FED003_FR1concat.csv,FR1
21.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
803.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
16.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
45.0,FED003_FR1concat.csv,FR1
3050.0,FED003_FR1concat.csv,FR1
350.0,FED003_FR1concat.csv,FR1
191.0,FED003_FR1concat.csv,FR1
315.0,FED003_FR1concat.csv,FR1
27.0,FED003_FR1concat.csv,FR1
209.0,FED003_FR1concat.csv,FR1
180.0,FED003_FR1concat.csv,FR1
3800.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
30.0,FED003_FR1concat.csv,FR1
35.0,FED003_FR1concat.csv,FR1
1182.0,FED003_FR1concat.csv,FR1
20.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
18.0,FED003_FR1concat.csv,FR1
806.0,FED003_FR1concat.csv,FR1
682.0,FED003_FR1concat.csv,FR1
3001.0,FED003_FR1concat.csv,FR1
49.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
17.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
1902.0,FED003_FR1concat.csv,FR1
150.0,FED003_FR1concat.csv,FR1
1371.0,FED003_FR1concat.csv,FR1
1038.0,FED003_FR1concat.csv,FR1
7158.0,FED003_FR1concat.csv,FR1
21.0,FED003_FR1concat.csv,FR1
19.0,FED003_FR1concat.csv,FR1
24.0,FED003_FR1concat.csv,FR1
7164.0,FED003_FR1concat.csv,FR1
737.0,FED003_FR1concat.csv,FR1
195.0,FED003_FR1concat.csv,FR1
2063.0,FED003_FR1concat.csv,FR1
9270.0,FED003_FR1concat.csv,FR1
23.0,FED003_FR1concat.csv,FR1
24.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
22.0,FED003_FR1concat.csv,FR1
4299.0,FED003_FR1concat.csv,FR1
510.0,FED003_FR1concat.csv,FR1
38.0,FED003_FR1concat.csv,FR1
15.0,FED003_FR1concat.csv,FR1
28.0,FED003_FR1concat.csv,FR1
240.0,FED003_FR1concat.csv,FR1
36.0,FED005_FR1concat.csv,FR1
66.0,FED005_FR1concat.csv,FR1
40.0,FED005_FR1concat.csv,FR1
132.0,FED005_FR1concat.csv,FR1
23.0,FED005_FR1concat.csv,FR1
22.0,FED005_FR1concat.csv,FR1
10369.0,FED005_FR1concat.csv,FR1
23.0,FED005_FR1concat.csv,FR1
230.0,FED005_FR1concat.csv,FR1
59.0,FED005_FR1concat.csv,FR1
3006.0,FED005_FR1concat.csv,FR1
21.0,FED005_FR1concat.csv,FR1
37.0,FED005_FR1concat.csv,FR1
31.0,FED005_FR1concat.csv,FR1
1225.0,FED005_FR1concat.csv,FR1
21.0,FED005_FR1concat.csv,FR1
295.0,FED005_FR1concat.csv,FR1
406.0,FED005_FR1concat.csv,FR1
272.0,FED005_FR1concat.csv,FR1
192.0,FED005_FR1concat.csv,FR1
280.0,FED005_FR1concat.csv,FR1
67.0,FED005_FR1concat.csv,FR1
943.0,FED005_FR1concat.csv,FR1
27.0,FED005_FR1concat.csv,FR1
20.0,FED005_FR1concat.csv,FR1
45.0,FED005_FR1concat.csv,FR1
889.0,FED005_FR1concat.csv,FR1
26.0,FED005_FR1concat.csv,FR1
1120.0,FED005_FR1concat.csv,FR1
20.0,FED005_FR1concat.csv,FR1
22.0,FED005_FR1concat.csv,FR1
23.0,FED005_FR1concat.csv,FR1
33.0,FED005_FR1concat.csv,FR1
947.0,FED005_FR1concat.csv,FR1
596.0,FED005_FR1concat.csv,FR1
441.0,FED005_FR1concat.csv,FR1
866.0,FED005_FR1concat.csv,FR1
244.0,FED005_FR1concat.csv,FR1
21.0,FED005_FR1concat.csv,FR1
63.0,FED005_FR1concat.csv,FR1
843.0,FED005_FR1concat.csv,FR1
388.0,FED005_FR1concat.csv,FR1
86.0,FED005_FR1concat.csv,FR1
169.0,FED005_FR1concat.csv,FR1
1251.0,FED005_FR1concat.csv,FR1
112.0,FED005_FR1concat.csv,FR1
323.0,FED005_FR1concat.csv,FR1
3288.0,FED005_FR1concat.csv,FR1
24.0,FED005_FR1concat.csv,FR1
40.0,FED005_FR1concat.csv,FR1
15.0,FED005_FR1concat.csv,FR1
30.0,FED005_FR1concat.csv,FR1
26.0,FED005_FR1concat.csv,FR1
18.0,FED005_FR1concat.csv,FR1
3652.0,FED005_FR1concat.csv,FR1
24.0,FED005_FR1concat.csv,FR1
24.0,FED005_FR1concat.csv,FR1
24.0,FED005_FR1concat.csv,FR1
23.0,FED005_FR1concat.csv,FR1
1278.0,FED005_FR1concat.csv,FR1
28.0,FED005_FR1concat.csv,FR1
32.0,FED005_FR1concat.csv,FR1
496.0,FED005_FR1concat.csv,FR1
273.0,FED005_FR1concat.csv,FR1
22.0,FED005_FR1concat.csv,FR1
879.0,FED005_FR1concat.csv,FR1
40.0,FED005_FR1concat.csv,FR1
710.0,FED005_FR1concat.csv,FR1
4835.0,FED005_FR1concat.csv,FR1
24.0,FED005_FR1concat.csv,FR1
32.0,FED005_FR1concat.csv,FR1
23.0,FED005_FR1concat.csv,FR1
20.0,FED005_FR1concat.csv,FR1
924.0,FED005_FR1concat.csv,FR1
1673.0,FED005_FR1concat.csv,FR1
29.0,FED005_FR1concat.csv,FR1
65.0,FED005_FR1concat.csv,FR1
23.0,FED005_FR1concat.csv,FR1
1064.0,FED005_FR1concat.csv,FR1
563.0,FED005_FR1concat.csv,FR1
20.0,FED005_FR1concat.csv,FR1
30.0,FED005_FR1concat.csv,FR1
87.0,FED005_FR1concat.csv,FR1
225.0,FED005_FR1concat.csv,FR1
3982.0,FED005_FR1concat.csv,FR1
28.0,FED005_FR1concat.csv,FR1
98.0,FED005_FR1concat.csv,FR1
1008.0,FED005_FR1concat.csv,FR1
70.0,FED005_FR1concat.csv,FR1
823.0,FED005_FR1concat.csv,FR1
317.0,FED005_FR1concat.csv,FR1
233.0,FED005_FR1concat.csv,FR1
25.0,FED005_FR1concat.csv,FR1
447.0,FED005_FR1concat.csv,FR1
400.0,FED005_FR1concat.csv,FR1
188.0,FED005_FR1concat.csv,FR1
883.0,FED005_FR1concat.csv,FR1
