,Hour,Filename,Total_Pellets
51,5,FED007_FR1concat.csv,2.5
52,5,FED008_FR1concat.csv,3.0
53,5,FED009_FR1concat.csv,1.5
54,6,FED008_FR1concat.csv,4.0
55,6,FED009_FR1concat.csv,2.0
56,6,FED007_FR1concat.csv,0.0
57,6,FED005_FR1concat.csv,1.5
58,6,FED006_FR1concat.csv,3.0
59,6,FED003_FR1concat.csv,0.0
60,6,FED001_FR1concat.csv,2.0
61,6,FED004_FR1concat.csv,3.0
62,6,FED002_FR1concat.csv,1.0
63,7,FED008_FR1concat.csv,2.5
64,7,FED006_FR1concat.csv,3.0
65,7,FED009_FR1concat.csv,2.5
66,7,FED004_FR1concat.csv,3.5
67,7,FED003_FR1concat.csv,1.0
68,7,FED002_FR1concat.csv,2.0
69,7,FED001_FR1concat.csv,3.5
70,7,FED005_FR1concat.csv,3.5
71,7,FED007_FR1concat.csv,2.0
72,8,FED001_FR1concat.csv,8.5
73,8,FED002_FR1concat.csv,4.0
74,8,FED003_FR1concat.csv,6.5
75,8,FED004_FR1concat.csv,0.5
76,8,FED005_FR1concat.csv,3.5
77,8,FED006_FR1concat.csv,2.5
78,8,FED007_FR1concat.csv,3.5
79,8,FED008_FR1concat.csv,2.0
80,8,FED009_FR1concat.csv,0.0
81,9,FED001_FR1concat.csv,3.5
82,9,FED009_FR1concat.csv,7.0
83,9,FED008_FR1concat.csv,5.0
84,9,FED007_FR1concat.csv,6.0
85,9,FED002_FR1concat.csv,4.0
86,9,FED005_FR1concat.csv,2.0
87,9,FED004_FR1concat.csv,3.0
88,9,FED003_FR1concat.csv,3.0
89,9,FED006_FR1concat.csv,6.5
90,10,FED001_FR1concat.csv,6.0
91,10,FED003_FR1concat.csv,2.5
92,10,FED004_FR1concat.csv,5.0
93,10,FED005_FR1concat.csv,0.5
94,10,FED006_FR1concat.csv,7.0
95,10,FED007_FR1concat.csv,0.5
96,10,FED008_FR1concat.csv,10.0
97,10,FED009_FR1concat.csv,3.0
98,10,FED002_FR1concat.csv,5.0
99,11,FED007_FR1concat.csv,10.5
100,11,FED006_FR1concat.csv,6.0
101,11,FED001_FR1concat.csv,14.5
102,11,FED002_FR1concat.csv,4.0
103,11,FED003_FR1concat.csv,5.5
104,11,FED004_FR1concat.csv,5.5
105,11,FED005_FR1concat.csv,9.0
106,11,FED009_FR1concat.csv,8.0
107,11,FED008_FR1concat.csv,12.0
108,12,FED001_FR1concat.csv,11.0
109,12,FED007_FR1concat.csv,15.0
110,12,FED002_FR1concat.csv,16.5
