feedStart,feedEnd,feedDuration,filename,Device,Sex,Task,Filename
112928,113199,271,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
114406,114458,52,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
117990,118243,253,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
122720,122999,279,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
123105,123172,67,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
123255,123311,56,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
127391,127657,266,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
129904,130235,331,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
132500,132615,115,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
132712,132853,141,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
132965,132972,7,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
133982,134291,309,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
134678,134788,110,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
134862,134993,131,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
135210,135263,53,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
135390,135679,289,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
136185,136498,313,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
136738,136895,157,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
136991,137036,45,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
137807,137839,32,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
145468,145836,368,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
146002,146137,135,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
146524,146617,93,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
146703,146804,101,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
153993,154062,69,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
154207,154222,15,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
102276,102438,162,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
109784,109957,173,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
112362,112570,208,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
115567,115698,131,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
116403,116537,134,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
116993,117177,184,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
118155,118368,213,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
120196,120340,144,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
125006,125203,197,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
127517,127683,166,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
131526,131821,295,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
134014,134141,127,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
134574,134690,116,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
135210,135411,201,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
135854,135918,64,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
136424,136704,280,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
136965,137102,137,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
137928,138121,193,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
138765,138947,182,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
143930,144025,95,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
144088,144216,128,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
147406,147420,14,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
147559,147683,124,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
148226,148423,197,CASTLE_002_120424_00_.CSV,2,M,Free Chow,CASTLE_002_120424_00_.CSV
69523,69533,10,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
81850,81874,24,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
102155,102575,420,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
102678,102800,122,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
102894,103013,119,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
103394,103642,248,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
103792,104068,276,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
104215,104221,6,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
