Meal_Size,Filename
10,M_2_Andrews_Free_fed02402032200.csv
10,M_2_Andrews_Free_fed02402032200.csv
3,M_2_Andrews_Free_fed02402032200.csv
10,M_2_Andrews_Free_fed02402032200.csv
6,M_2_Andrews_Free_fed02402032200.csv
8,M_2_Andrews_Free_fed02402032200.csv
9,M_2_Andrews_Free_fed02402032200.csv
9,M_2_Andrews_Free_fed02402032200.csv
15,M_2_Andrews_Free_fed02402032200.csv
9,M_2_Andrews_Free_fed02402032200.csv
8,M_2_Andrews_Free_fed02402032200.csv
6,M_2_Andrews_Free_fed02402032200.csv
22,M_2_Andrews_Free_fed02402032200.csv
3,M_2_Andrews_Free_fed02402032200.csv
10,M_6_Andrews_Free_fed00402032200.csv
5,M_6_Andrews_Free_fed00402032200.csv
11,M_6_Andrews_Free_fed00402032200.csv
3,M_6_Andrews_Free_fed00402032200.csv
9,M_6_Andrews_Free_fed00402032200.csv
6,M_6_Andrews_Free_fed00402032200.csv
13,M_6_Andrews_Free_fed00402032200.csv
4,M_6_Andrews_Free_fed00402032200.csv
5,M_6_Andrews_Free_fed00402032200.csv
11,M_6_Andrews_Free_fed00402032200.csv
7,M_6_Andrews_Free_fed00402032200.csv
12,M_6_Andrews_Free_fed00402032200.csv
5,M_6_Andrews_Free_fed00402032200.csv
7,M_6_Andrews_Free_fed00402032200.csv
10,M_6_Andrews_Free_fed00402032200.csv
8,M_6_Andrews_Free_fed00402032200.csv
8,M_6_Andrews_Free_fed00402032200.csv
3,M_6_Andrews_Free_fed00402032200.csv
17,M_6_Andrews_Free_fed00402032200.csv
7,M_6_Andrews_Free_fed00402032200.csv
6,M_6_Andrews_Free_fed00402032200.csv
8,M_6_Andrews_Free_fed00402032200.csv
3,M_6_Andrews_Free_fed00402032200.csv
3,M_6_Andrews_Free_fed00402032200.csv
3,M_6_Andrews_Free_fed00402032200.csv
3,M_6_Andrews_Free_fed00402032200.csv
3,M_8_Andrews_Free_fed00602022201.csv
3,M_8_Andrews_Free_fed00602022201.csv
3,M_8_Andrews_Free_fed00602022201.csv
3,M_8_Andrews_Free_fed00602022201.csv
3,M_8_Andrews_Free_fed00602022201.csv
4,M_8_Andrews_Free_fed00602022201.csv
6,M_8_Andrews_Free_fed00602022201.csv
4,M_8_Andrews_Free_fed00602022201.csv
7,M_8_Andrews_Free_fed00602022201.csv
11,M_8_Andrews_Free_fed00602022201.csv
7,M_8_Andrews_Free_fed00602022201.csv
3,M_8_Andrews_Free_fed00602022201.csv
3,M_8_Andrews_Free_fed00602022201.csv
6,M_8_Andrews_Free_fed00602022201.csv
5,M_8_Andrews_Free_fed00602022201.csv
6,M_8_Andrews_Free_fed00602022201.csv
10,M_8_Andrews_Free_fed00602022201.csv
9,M_8_Andrews_Free_fed00602022201.csv
4,M_8_Andrews_Free_fed00602022201.csv
11,M_8_Andrews_Free_fed00602022201.csv
3,M_8_Andrews_Free_fed00602022201.csv
6,M_8_Andrews_Free_fed00602022201.csv
5,M_8_Andrews_Free_fed00602022201.csv
3,M_8_Andrews_Free_fed00602022201.csv
8,M_4_Andrews_Free_fed09902032200.csv
5,M_4_Andrews_Free_fed09902032200.csv
6,M_4_Andrews_Free_fed09902032200.csv
5,M_4_Andrews_Free_fed09902032200.csv
4,M_4_Andrews_Free_fed09902032200.csv
3,M_4_Andrews_Free_fed09902032200.csv
9,M_4_Andrews_Free_fed09902032200.csv
4,M_4_Andrews_Free_fed09902032200.csv
4,M_4_Andrews_Free_fed09902032200.csv
3,M_4_Andrews_Free_fed09902032200.csv
