Sex,ID,Lab,Task,Filename,Duration_Hours,Pellet_Count,Retrieval_Time,Pellets per Hour
M,61,Fobbs,FR1,FED008FR1Concat.csv,23.976111111111113,152,,6.339643626758115
F,57,Fobbs,FR1,FED015FR1Concat.csv,23.891666666666666,137,1.83,5.734216951517266
M,63,Fobbs,FR1,FED016FR1Concat.csv,23.996666666666666,128,,5.334074176969024
F,53,Fobbs,FR1,FED011FR1Concat.csv,23.692777777777778,155,,6.542077989073088
F,51,Fobbs,FR1,FED002FR1Concat.csv,23.974722222222223,130,,5.4223777358097065
M,59,Fobbs,FR1,FED006FR1Concat.csv,23.94611111111111,158,0.06,6.598148620745656
F,52,Fobbs,FR1,FED003FR1Concat.csv,23.503333333333334,191,,8.126506878456956
M,64,Fobbs,FR1,FED017FR1Concat.csv,23.99888888888889,173,0.36,7.208667067919811
F,54,Fobbs,FR1,FED012FR1Concat.csv,23.49361111111111,166,,7.065750736015702
F,50,Fobbs,FR1,FED001FR1Concat.csv,23.922777777777778,179,17.82,7.482408676064188
M,66,Fobbs,FR1,FED019FR1Concat.csv,18.565555555555555,71,1.22,3.8242863127655755
F,56,Fobbs,FR1,FED014FR1Concat.csv,23.057222222222222,133,,5.768257716309664
M,45,Westbrook,Free,HAL35FF.CSV,24.0,192,Timed_out,8.0
M,40,Westbrook,Free,HAL24FF.CSV,23.92888888888889,245,Timed_out,10.238670133729569
M,47,Westbrook,Free,HAL4FF.CSV,23.857222222222223,238,Timed_out,9.976014717183242
M,39,Westbrook,Free,HAL17FF.csv,23.58,349,11.41,14.800678541136557
M,49,Westbrook,Free,HAL6FF.CSV,23.935277777777777,222,18.69,9.275012475773789
M,46,Westbrook,Free,HAL41FF.CSV,23.66583333333333,242,0.06,10.225712172963837
M,42,Westbrook,Free,HAL31FF.CSV,23.989722222222223,230,3.75,9.587439065340481
M,43,Westbrook,Free,HAL32FF.CSV,23.979444444444443,238,9.22,9.925167388735723
M,48,Westbrook,Free,HAL5FF.CSV,23.751666666666665,288,Timed_out,12.125464879657569
M,41,Westbrook,Free,HAL25FF.CSV,23.75861111111111,240,12.99,10.101600589260034
M,44,Westbrook,Free,HAL33FF.CSV,23.91638888888889,201,13.65,8.404278795340248
M,47,Westbrook,FR1,HAL4FR1.CSV,23.945555555555554,216,0.26,9.020463087559742
M,40,Westbrook,FR1,HAL24FR1.CSV,23.90361111111111,179,2.83,7.48840830650878
M,42,Westbrook,FR1,HAL31FR1.CSV,23.422777777777778,165,0.32,7.044424942482389
M,39,Westbrook,FR1,HAL17FR1.CSV,23.886666666666667,280,0.19,11.722020653084007
M,49,Westbrook,FR1,HAL6FR1.CSV,23.7175,134,0.65,5.64983661853062
M,41,Westbrook,FR1,HAL25FR1.CSV,23.830277777777777,214,0.79,8.980172283159845
M,48,Westbrook,FR1,HAL5FR1.CSV,23.775833333333335,235,23.57,9.883985839963549
M,43,Westbrook,FR1,HAL32FR1.CSV,23.110277777777778,223,0.59,9.649386396144092
M,45,Westbrook,FR1,HAL35FR1.CSV,23.875,149,,6.2408376963350785
M,44,Westbrook,FR1,HAL33FR1.CSV,23.72222222222222,157,0.59,6.618266978922716
M,46,Westbrook,FR1,HAL41FR1.CSV,23.89638888888889,182,,7.61621351436177
F,107,Ames,FR1,WT17F.csv,23.30527777777778,229,0.18,9.826100430279265
M,111,Ames,FR1,WT16M.csv,23.645555555555557,207,0.24,8.75428786241248
M,110,Ames,FR1,WT14M.csv,23.16611111111111,191,0.44,8.244802033621909
F,106,Ames,FR1,WT11F.csv,23.5475,240,0.36,10.192164773330502
M,112,Ames,FR1,WT7M.csv,23.611944444444443,165,0.61,6.9879886592237925
F,108,Ames,FR1,WT7F.csv,23.371666666666666,166,0.36,7.102617129002353
M,109,Ames,FR1,WT13M.csv,23.589444444444446,184,0.19,7.800098914297826
F,108,Ames,Free,WT7F.csv,23.8675,183,4.22,7.667330051325024
F,107,Ames,Free,WT17F.csv,23.190555555555555,132,25.65,5.691972306734064
M,109,Ames,Free,WT13M.csv,22.808055555555555,242,15.8,10.610286326712053
F,106,Ames,Free,WT11F.csv,23.315833333333334,199,11.39,8.534972658064977
M,111,Ames,Free,WT16M.csv,23.1725,199,7.83,8.587765670514619
M,110,Ames,Free,WT14M.csv,23.96388888888889,221,28.22,9.222209342761099
M,112,Ames,Free,WT7M.csv,22.6675,225,1.58,9.926105657880225
F,15,Creed,FR1,FED000032523concat.csv,23.845277777777778,152,0.55,6.374427734352248
M,20,Creed,FR1,FED003030623Concat.csv,23.77166666666667,185,0.36,7.782373974619644
M,21,Creed,FR1,FED003052023.CSV,23.84111111111111,161,0.61,6.753040965652235
M,19,Creed,FR1,FED002052023.CSV,23.91777777777778,165,,6.898634209792808
F,18,Creed,FR1,FED006FR1Concat.csv,23.94472222222222,185,0.55,7.726128467187156
