Interval,Filename
15.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
44.0,M_13_Andrews_Free_fed01502032200.csv
427.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
94.0,M_13_Andrews_Free_fed01502032200.csv
891.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
25.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
3754.0,M_13_Andrews_Free_fed01502032200.csv
71.0,M_13_Andrews_Free_fed01502032200.csv
88.0,M_13_Andrews_Free_fed01502032200.csv
40.0,M_13_Andrews_Free_fed01502032200.csv
7.0,M_13_Andrews_Free_fed01502032200.csv
293.0,M_13_Andrews_Free_fed01502032200.csv
10.0,M_13_Andrews_Free_fed01502032200.csv
53.0,M_13_Andrews_Free_fed01502032200.csv
173.0,M_13_Andrews_Free_fed01502032200.csv
8.0,M_13_Andrews_Free_fed01502032200.csv
1.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
3.0,M_13_Andrews_Free_fed01502032200.csv
3.0,M_13_Andrews_Free_fed01502032200.csv
48.0,M_13_Andrews_Free_fed01502032200.csv
6.0,M_13_Andrews_Free_fed01502032200.csv
7.0,M_13_Andrews_Free_fed01502032200.csv
205.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
567.0,M_13_Andrews_Free_fed01502032200.csv
199.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
12.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
21.0,M_13_Andrews_Free_fed01502032200.csv
41.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
21.0,M_13_Andrews_Free_fed01502032200.csv
6.0,M_13_Andrews_Free_fed01502032200.csv
3985.0,M_13_Andrews_Free_fed01502032200.csv
27.0,M_13_Andrews_Free_fed01502032200.csv
19.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
22.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
18.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
204.0,M_13_Andrews_Free_fed01502032200.csv
1406.0,M_13_Andrews_Free_fed01502032200.csv
20.0,M_13_Andrews_Free_fed01502032200.csv
20.0,M_13_Andrews_Free_fed01502032200.csv
22.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
19.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
21.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
4199.0,M_13_Andrews_Free_fed01502032200.csv
27.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
19.0,M_13_Andrews_Free_fed01502032200.csv
13.0,M_13_Andrews_Free_fed01502032200.csv
1903.0,M_13_Andrews_Free_fed01502032200.csv
24.0,M_13_Andrews_Free_fed01502032200.csv
198.0,M_13_Andrews_Free_fed01502032200.csv
106.0,M_13_Andrews_Free_fed01502032200.csv
19.0,M_13_Andrews_Free_fed01502032200.csv
18.0,M_13_Andrews_Free_fed01502032200.csv
13.0,M_13_Andrews_Free_fed01502032200.csv
18.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
38.0,M_13_Andrews_Free_fed01502032200.csv
20.0,M_13_Andrews_Free_fed01502032200.csv
588.0,M_13_Andrews_Free_fed01502032200.csv
36.0,M_13_Andrews_Free_fed01502032200.csv
148.0,M_13_Andrews_Free_fed01502032200.csv
31.0,M_13_Andrews_Free_fed01502032200.csv
19.0,M_13_Andrews_Free_fed01502032200.csv
8.0,M_13_Andrews_Free_fed01502032200.csv
5.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
4.0,M_13_Andrews_Free_fed01502032200.csv
8.0,M_13_Andrews_Free_fed01502032200.csv
3.0,M_13_Andrews_Free_fed01502032200.csv
6.0,M_13_Andrews_Free_fed01502032200.csv
12.0,M_13_Andrews_Free_fed01502032200.csv
38.0,M_13_Andrews_Free_fed01502032200.csv
7.0,M_13_Andrews_Free_fed01502032200.csv
5182.0,M_13_Andrews_Free_fed01502032200.csv
1632.0,M_13_Andrews_Free_fed01502032200.csv
2399.0,M_13_Andrews_Free_fed01502032200.csv
18.0,M_13_Andrews_Free_fed01502032200.csv
18.0,M_13_Andrews_Free_fed01502032200.csv
55.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
28.0,M_13_Andrews_Free_fed01502032200.csv
1834.0,M_13_Andrews_Free_fed01502032200.csv
28.0,M_13_Andrews_Free_fed01502032200.csv
99.0,M_13_Andrews_Free_fed01502032200.csv
8.0,M_13_Andrews_Free_fed01502032200.csv
3.0,M_13_Andrews_Free_fed01502032200.csv
72.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
13.0,M_13_Andrews_Free_fed01502032200.csv
23.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
234.0,M_13_Andrews_Free_fed01502032200.csv
5.0,M_13_Andrews_Free_fed01502032200.csv
7.0,M_13_Andrews_Free_fed01502032200.csv
2.0,M_13_Andrews_Free_fed01502032200.csv
161.0,M_13_Andrews_Free_fed01502032200.csv
257.0,M_13_Andrews_Free_fed01502032200.csv
13.0,M_13_Andrews_Free_fed01502032200.csv
12.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
18.0,M_13_Andrews_Free_fed01502032200.csv
559.0,M_13_Andrews_Free_fed01502032200.csv
298.0,M_13_Andrews_Free_fed01502032200.csv
117.0,M_13_Andrews_Free_fed01502032200.csv
268.0,M_13_Andrews_Free_fed01502032200.csv
610.0,M_13_Andrews_Free_fed01502032200.csv
7.0,M_13_Andrews_Free_fed01502032200.csv
41.0,M_13_Andrews_Free_fed01502032200.csv
13.0,M_13_Andrews_Free_fed01502032200.csv
12.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
11.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
136.0,M_13_Andrews_Free_fed01502032200.csv
1105.0,M_13_Andrews_Free_fed01502032200.csv
58.0,M_13_Andrews_Free_fed01502032200.csv
803.0,M_13_Andrews_Free_fed01502032200.csv
69.0,M_13_Andrews_Free_fed01502032200.csv
483.0,M_13_Andrews_Free_fed01502032200.csv
13.0,M_13_Andrews_Free_fed01502032200.csv
18.0,M_13_Andrews_Free_fed01502032200.csv
88.0,M_13_Andrews_Free_fed01502032200.csv
20.0,M_13_Andrews_Free_fed01502032200.csv
1358.0,M_13_Andrews_Free_fed01502032200.csv
6359.0,M_13_Andrews_Free_fed01502032200.csv
32.0,M_13_Andrews_Free_fed01502032200.csv
194.0,M_13_Andrews_Free_fed01502032200.csv
