MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 17:45:47,8,3.99,,FR1,Poke,Left,27,79,12,,0,FR1
2024-07-28 17:45:48,8,4.0,1.0,FR1,Pellet,Left,27,79,13,0.56,0,FR1
2024-07-28 17:46:14,8,3.99,,FR1,Poke,Left,28,79,13,,0,FR1
2024-07-28 17:46:15,8,3.99,,FR1,Poke,Left,29,79,13,,0,FR1
2024-07-28 17:46:18,8,3.99,2.0,FR1,Pellet,Left,29,79,14,0.69,0,FR1
2024-07-28 17:46:43,8,4.0,,FR1,Poke,Left,30,79,14,,0,FR1
2024-07-28 17:46:44,8,4.0,2.0,FR1,Pellet,Left,30,79,15,0.44,0,FR1
2024-07-28 17:47:06,8,3.99,,FR1,Poke,Left,31,79,15,,0,FR1
2024-07-28 17:47:07,8,4.0,1.0,FR1,Pellet,Left,31,79,16,0.44,0,FR1
2024-07-28 17:47:43,8,3.99,,FR1,Poke,Left,32,79,16,,0,FR1
2024-07-28 17:47:44,8,4.0,1.0,FR1,Pellet,Left,32,79,17,0.5,0,FR1
2024-07-28 17:48:06,8,3.99,,FR1,Poke,Left,33,79,17,,0,FR1
2024-07-28 17:48:07,8,4.0,1.0,FR1,Pellet,Left,33,79,18,0.25,0,FR1
2024-07-28 17:48:23,8,3.99,,FR1,Poke,Left,34,79,18,,0,FR1
2024-07-28 17:48:26,8,3.99,3.0,FR1,Pellet,Left,34,79,19,0.25,0,FR1
2024-07-28 17:48:47,8,3.99,,FR1,Poke,Left,35,79,19,,0,FR1
2024-07-28 17:48:48,8,3.99,2.0,FR1,Pellet,Left,35,79,20,0.06,0,FR1
2024-07-28 17:49:06,8,3.99,,FR1,Poke,Left,36,79,20,,0,FR1
2024-07-28 17:49:07,8,3.99,,FR1,Poke,Left,37,79,20,,0,FR1
2024-07-28 17:49:10,8,3.99,1.0,FR1,Pellet,Left,37,79,21,2.72,0,FR1
2024-07-28 17:49:42,8,3.99,,FR1,Poke,Left,38,79,21,,0,FR1
2024-07-28 17:49:43,8,4.0,2.0,FR1,Pellet,Left,38,79,22,0.31,0,FR1
2024-07-28 17:50:04,8,3.99,,FR1,Poke,Left,39,79,22,,0,FR1
2024-07-28 17:50:05,8,3.99,2.0,FR1,Pellet,Left,39,79,23,0.37,0,FR1
2024-07-28 17:52:37,8,3.99,,FR1,Poke,Left,40,79,23,,0,FR1
2024-07-28 17:52:38,8,3.99,1.0,FR1,Pellet,Left,40,79,24,0.5,0,FR1
2024-07-28 17:52:57,8,3.99,,FR1,Poke,Left,41,79,24,,0,FR1
2024-07-28 17:52:58,8,3.99,1.0,FR1,Pellet,Left,41,79,25,0.31,0,FR1
